Name,Num,By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Cody Zeller,#40,2013-14 ,CHA,82,17.3,6.0,2.1,4.9,42.6,0.0,0.0,0.0,1.8,2.4,73.0,1.4,2.9,4.3,1.1,1.1,0.5,0.5,2.1,14.7,1,0,-1.1
Willy Hernangomez,#41,2017-18 ,TOT,48,10.3,5.1,1.9,3.4,55.5,0.1,0.3,41.7,1.2,1.9,65.6,1.3,2.5,3.8,0.7,0.7,0.4,0.3,1.3,12.1,4,0,0.0
Frank Kaminsky,#44,2017-18 ,CHA,79,23.2,11.1,3.9,9.1,42.9,1.3,3.5,38.0,2.0,2.5,79.9,0.6,3.1,3.6,1.6,0.8,0.5,0.2,1.2,19.1,0,0,-0.7
Frank Kaminsky,#44,2016-17 ,CHA,75,26.1,11.7,4.3,10.7,39.9,1.5,4.7,32.8,1.6,2.1,75.6,0.8,3.7,4.5,2.2,1.0,0.6,0.5,1.9,22.5,4,0,0.6
Frank Kaminsky,#44,2015-16 ,CHA,81,21.1,7.5,2.7,6.5,41.0,0.8,2.5,33.7,1.3,1.8,73.0,0.9,3.3,4.1,1.2,0.7,0.5,0.5,1.6,16.5,1,0,-0.2
Josh Richardson,#0,2017-18 ,MIA,5,25.9,8.4,3.0,8.0,37.5,1.2,3.8,31.6,1.2,1.4,85.7,0.8,2.2,3.0,2.8,1.0,2.2,1.0,3.4,24.8,0,0,-9.2
Josh Richardson,#0,2015-16 ,MIA,14,27.6,6.6,2.4,6.4,37.1,1.2,3.3,37.0,0.7,1.0,71.4,0.7,2.9,3.6,1.6,0.9,0.4,0.9,2.6,16.5,0,0,3.1
Wayne Ellington,#2,2017-18 ,MIA,5,20.1,7.8,2.4,7.0,34.3,2.4,6.0,40.0,0.6,0.6,100,0.2,1.4,1.6,0.6,0.6,0.4,0.4,1.8,12.4,0,0,-8.8
Dwyane Wade,#3,2017-18 ,MIA,5,25.5,16.6,6.2,14.0,44.3,0.0,0.8,0.0,4.2,5.2,80.8,0.6,3.6,4.2,3.6,2.2,1.4,0.2,2.2,29.6,0,0,1.0
Dwyane Wade,#3,2015-16 ,MIA,14,33.8,21.4,8.5,18.1,46.9,0.9,1.6,52.2,3.6,4.6,78.1,0.9,4.8,5.6,4.3,2.7,0.8,0.9,1.6,37.1,1,0,0.9
Dwyane Wade,#3,2013-14 ,MIA,20,34.6,17.8,7.0,13.9,50.0,0.5,1.2,37.5,3.5,4.5,76.7,0.8,3.1,3.9,3.9,2.7,1.5,0.3,2.8,30.7,0,0,0.1
Dwyane Wade,#3,2012-13 ,MIA,22,35.6,15.9,6.5,14.3,45.7,0.0,0.2,25.0,2.7,3.6,75.0,1.7,2.9,4.6,4.8,2.6,1.7,1.0,2.0,34.3,2,0,1.7
Dwyane Wade,#3,2011-12 ,MIA,23,39.4,22.8,8.6,18.5,46.2,0.4,1.5,29.4,5.3,7.2,72.9,1.4,3.8,5.2,4.3,3.0,1.7,1.3,2.8,41.7,1,0,8.0
Dwyane Wade,#3,2010-11 ,MIA,21,39.4,24.5,8.6,17.8,48.5,0.7,2.5,26.9,6.6,8.5,77.7,2.0,5.1,7.1,4.4,3.0,1.6,1.3,2.5,45.5,5,0,2.2
Dwyane Wade,#3,2009-10 ,MIA,5,42.0,33.2,12.4,22.0,56.4,3.0,7.4,40.5,5.4,8.0,67.5,1.2,4.4,5.6,6.8,5.2,1.6,1.6,3.2,54.5,1,0,-7.2
Dwyane Wade,#3,2008-09 ,MIA,7,40.7,29.1,9.7,22.1,43.9,2.6,7.1,36.0,7.1,8.3,86.2,0.6,4.4,5.0,5.3,3.6,0.9,1.6,2.9,46.8,0,0,2.7
Dwyane Wade,#3,2006-07 ,MIA,4,40.5,23.5,9.0,21.0,42.9,0.0,1.3,0.0,5.5,8.0,68.8,1.8,3.0,4.8,6.3,5.8,1.3,0.5,3.3,38.1,1,0,-10.0
Dwyane Wade,#3,2005-06 ,MIA,23,41.7,28.4,9.5,19.2,49.7,0.6,1.6,37.8,8.8,10.9,80.8,1.2,4.7,5.9,5.7,3.9,2.2,1.1,3.1,50.2,6,0,5.8
Dwyane Wade,#3,2004-05 ,MIA,14,41.0,27.4,9.7,20.1,48.4,0.1,0.7,10.0,7.9,9.9,79.9,1.6,4.1,5.7,6.6,4.4,1.6,1.1,3.1,48.0,3,0,6.0
Dwyane Wade,#3,2003-04 ,MIA,13,39.4,18.0,6.6,14.5,45.5,0.2,0.6,37.5,4.5,5.8,78.7,1.2,2.8,4.0,5.6,4.2,1.3,0.3,3.5,31.9,2,0,0.5
Derrick Jones Jr.,#5,2017-18 ,TOT,20,12.3,3.1,1.1,2.7,39.6,0.2,0.9,16.7,0.8,1.2,66.7,1.1,0.9,1.9,0.5,0.4,0.2,0.7,1.2,8.2,0,0,-1.8
Goran Dragic,#7,2017-18 ,MIA,5,31.3,18.6,7.0,15.0,46.7,1.6,4.2,38.1,3.0,4.4,68.2,0.6,2.0,2.6,4.6,3.0,1.0,0.0,3.0,28.6,0,0,-5.2
Goran Dragic,#7,2015-16 ,MIA,14,33.7,16.5,6.5,14.7,44.2,1.1,3.3,34.8,2.4,3.1,76.7,0.8,4.1,4.9,3.9,2.2,0.4,0.2,3.3,27.9,0,0,2.4
Tyler Johnson,#8,2017-18 ,MIA,5,16.2,8.0,2.8,5.2,53.8,1.2,2.0,60.0,1.2,1.4,85.7,0.2,1.4,1.6,0.8,0.4,0.4,0.0,2.8,11.9,0,0,-3.8
Tyler Johnson,#8,2015-16 ,MIA,5,12.1,4.2,1.0,2.2,45.5,0.6,1.2,50.0,1.6,2.2,72.7,0.4,1.0,1.4,1.6,0.4,0.2,0.0,1.6,8.5,0,0,2.2
Kelly Olynyk,#9,2017-18 ,MIA,5,29.2,12.8,4.2,8.8,47.7,1.6,3.8,42.1,2.8,4.0,70.0,1.4,3.2,4.6,3.8,1.6,1.4,1.2,3.8,30.2,0,0,-2.4
Dion Waiters,#11,2017-18 ,MIA,30,30.6,14.3,5.4,13.7,39.8,1.7,5.7,30.6,1.7,2.3,73.9,0.3,2.3,2.6,3.8,2.3,0.8,0.3,2.0,23.9,0,0,-2.8
Dion Waiters,#11,2016-17 ,MIA,46,30.1,15.8,6.1,14.4,42.4,1.8,4.7,39.5,1.8,2.8,64.6,0.4,2.9,3.3,4.3,2.2,0.9,0.4,2.1,28.2,2,0,1.8
Bam Adebayo,#13,2017-18 ,MIA,5,15.4,3.4,1.4,3.0,46.7,0.0,0.2,0.0,0.6,2.8,21.4,1.8,2.2,4.0,0.0,0.4,0.0,0.4,1.6,9.0,0,0,-5.6
Derrick Walton Jr.,#14,2017-18 ,MIA,16,9.2,1.8,0.5,1.6,32.0,0.4,1.1,41.2,0.4,0.4,100,0.1,0.9,1.0,1.0,0.1,0.4,0.2,0.4,6.3,0,0,-1.9
